ua,especialidad,estado,fecha_inicio,fecha_fin,numeros,asignados,asistidos,libres,fecha_datos
Inve 16,Odontología,Cerrada,2025-01-20 15:00:00,2025-01-20 17:00:00,4,4,1,0,2025-03-15 06:01:41
Yucatan,Pediatría,Cerrada,2025-01-20 15:00:00,2025-01-20 17:00:00,6,6,4,0,2025-03-15 06:01:41
La Teja,Medicina Familiar,Cerrada,2025-01-20 15:00:00,2025-01-20 17:00:00,6,6,6,0,2025-03-15 06:01:41
Paso De La Arena,Medicina Familiar,Cerrada,2025-01-20 15:10:00,2025-01-20 17:30:00,7,7,7,0,2025-03-15 06:01:41
Los Angeles,Medicina Familiar,Cerrada,2025-01-20 15:15:00,2025-01-20 15:45:00,1,2,2,0,2025-03-15 06:01:41
Luisa Tirapare,Medicina General,Cerrada,2025-01-20 15:20:00,2025-01-20 17:00:00,5,6,5,0,2025-03-15 06:01:41
Parque Bellan,Medicina General,Cerrada,2025-01-20 15:30:00,2025-01-20 15:50:00,1,1,1,0,2025-03-15 06:01:41
Casavalle,Medicina Familiar,Cerrada,2025-01-20 15:30:00,2025-01-20 16:00:00,2,6,6,0,2025-03-15 06:01:41
Barrio Sur,Odontología,Cerrada,2025-01-20 15:30:00,2025-01-20 16:30:00,2,2,1,0,2025-03-15 06:01:41
Francisco Pucci,Medicina Familiar,Cerrada,2025-01-20 15:30:00,2025-01-20 16:30:00,2,2,2,0,2025-03-15 06:01:41
Francisco Pucci,Odontología,Cerrada,2025-01-20 15:30:00,2025-01-20 17:30:00,4,4,2,0,2025-03-15 06:01:41
Giraldez,Medicina Familiar,Cerrada,2025-01-20 15:30:00,2025-01-20 17:30:00,6,6,5,0,2025-03-15 06:01:41
Yucatan,Medicina Familiar,Cerrada,2025-01-20 15:40:00,2025-01-20 18:00:00,7,7,3,0,2025-03-15 06:01:41
Los Angeles,Medicina Familiar,Cerrada,2025-01-20 15:45:00,2025-01-20 18:00:00,6,6,6,0,2025-03-15 06:01:41
Parque Bellan,Medicina General,Cerrada,2025-01-20 15:50:00,2025-01-20 16:10:00,1,1,1,0,2025-03-15 06:01:41
La Paloma,Pediatría,Cerrada,2025-01-20 16:00:00,2025-01-20 16:15:00,1,0,0,0,2025-03-15 06:01:41
La Teja,Pediatría,Cerrada,2025-01-20 16:00:00,2025-01-20 16:20:00,1,1,1,0,2025-03-15 06:01:41
Jose P. Varela,Odontología,Cerrada,2025-01-20 16:00:00,2025-01-20 16:30:00,1,1,0,0,2025-03-15 06:01:41
Aquiles Lanza,Medicina Familiar,Cerrada,2025-01-20 16:00:00,2025-01-20 16:40:00,2,2,1,0,2025-03-15 06:01:41
Inve 16,Medicina Familiar,Cerrada,2025-01-20 16:00:00,2025-01-20 17:00:00,2,0,0,0,2025-03-15 06:01:41
Parque Bellan,Medicina General,Cerrada,2025-01-20 16:10:00,2025-01-20 16:30:00,1,1,1,0,2025-03-15 06:01:41
Paso De La Arena,Medicina Familiar,Cerrada,2025-01-20 16:10:00,2025-01-20 17:30:00,4,4,4,0,2025-03-15 06:01:41
La Paloma,Medicina Familiar,Cerrada,2025-01-20 16:15:00,2025-01-20 16:30:00,1,1,0,0,2025-03-15 06:01:41
Yano Rodriguez,Odontología,Cerrada,2025-01-20 16:30:00,2025-01-20 17:00:00,1,1,1,0,2025-03-15 06:01:41
Francisco Pucci,Medicina Familiar,Cerrada,2025-01-20 16:30:00,2025-01-20 17:30:00,3,3,3,0,2025-03-15 06:01:41
Yano Rodriguez,Odontología,Cerrada,2025-01-20 16:30:00,2025-01-20 17:30:00,2,2,2,0,2025-03-15 06:01:41
Parque Bellan,Medicina General,Cerrada,2025-01-20 16:30:00,2025-01-20 17:50:00,4,6,5,0,2025-03-15 06:01:41
Aquiles Lanza,Medicina Familiar,Cerrada,2025-01-20 16:40:00,2025-01-20 17:20:00,2,2,1,0,2025-03-15 06:01:41
Aquiles Lanza,Medicina Familiar,Cerrada,2025-01-20 17:20:00,2025-01-20 17:30:00,1,1,1,0,2025-03-15 06:01:41
Francisco Pucci,Medicina Familiar,Cerrada,2025-01-20 17:30:00,2025-01-20 17:50:00,2,2,2,0,2025-03-15 06:01:41
Yano Rodriguez,Odontología,Cerrada,2025-01-20 17:45:00,2025-01-20 17:53:00,8,8,7,0,2025-03-15 06:01:41
Barrio Sur,Medicina General,Cerrada,2025-01-21 07:00:00,2025-01-21 08:00:00,3,3,3,0,2025-03-15 06:01:41
Punta De Rieles,Pediatría,Cerrada,2025-01-21 07:00:00,2025-01-21 08:00:00,4,4,2,0,2025-03-15 06:01:41
Crottogini,Medicina Familiar,Cerrada,2025-01-21 07:00:00,2025-01-21 08:20:00,4,4,4,0,2025-03-15 06:01:41
Aquiles Lanza,Medicina Familiar,Cerrada,2025-01-21 07:00:00,2025-01-21 08:30:00,4,9,9,0,2025-03-15 06:01:41
Giraldez,Medicina Familiar,Cerrada,2025-01-21 07:00:00,2025-01-21 09:00:00,6,6,6,0,2025-03-15 06:01:41
Giraldez,Odontología,Cerrada,2025-01-21 07:00:00,2025-01-21 09:30:00,5,5,3,0,2025-03-15 06:01:41
Crottogini,Nutrición,Cerrada,2025-01-21 07:00:00,2025-01-21 13:00:00,18,2,1,0,2025-03-15 06:01:41
Casabo,Medicina Familiar,Cerrada,2025-01-21 07:30:00,2025-01-21 09:20:00,5,11,10,0,2025-03-15 06:01:41
Francisco Pucci,Medicina Familiar,Cerrada,2025-01-21 07:40:00,2025-01-21 09:00:00,4,6,2,0,2025-03-15 06:01:41
Lavalleja,Medicina Familiar,Cerrada,2025-01-21 07:50:00,2025-01-21 08:10:00,2,2,2,0,2025-03-15 06:01:41
La Paloma,Medicina Familiar,Cerrada,2025-01-21 08:00:00,2025-01-21 08:20:00,1,4,4,0,2025-03-15 06:01:41
La Teja,Odontología,Cerrada,2025-01-21 08:00:00,2025-01-21 08:30:00,1,1,1,0,2025-03-15 06:01:41
Punta De Rieles,Pediatría,Cerrada,2025-01-21 08:00:00,2025-01-21 08:30:00,2,1,1,0,2025-03-15 06:01:41
Casavalle,Odontología,Cerrada,2025-01-21 08:00:00,2025-01-21 09:00:00,1,10,4,0,2025-03-15 06:01:41
Parque Bellan,Psicología,Cerrada,2025-01-21 08:00:00,2025-01-21 09:00:00,1,1,1,0,2025-03-15 06:01:41
Inve 16,Medicina Familiar,Cerrada,2025-01-21 08:00:00,2025-01-21 09:00:00,3,0,0,0,2025-03-15 06:01:41
Buceo,Medicina Familiar,Cerrada,2025-01-21 08:00:00,2025-01-21 09:00:00,3,3,3,0,2025-03-15 06:01:41
Luisa Tirapare,Psicología,Cerrada,2025-01-21 08:00:00,2025-01-21 09:00:00,1,1,1,0,2025-03-15 06:01:41
Jose P. Varela,Odontología,Cerrada,2025-01-21 08:00:00,2025-01-21 09:00:00,2,2,2,0,2025-03-15 06:01:41
Aquiles Lanza,Odontología,Cerrada,2025-01-21 08:00:00,2025-01-21 09:00:00,4,4,3,0,2025-03-15 06:01:41
Inve 16,Odontología,Cerrada,2025-01-21 08:00:00,2025-01-21 09:00:00,1,0,0,0,2025-03-15 06:01:41
Los Angeles,Odontología,Cerrada,2025-01-21 08:00:00,2025-01-21 09:30:00,3,3,3,0,2025-03-15 06:01:41
Francisco Pucci,Odontología,Cerrada,2025-01-21 08:00:00,2025-01-21 09:40:00,3,3,3,0,2025-03-15 06:01:41
Parque Bellan,Odontología,Cerrada,2025-01-21 08:00:00,2025-01-21 10:00:00,4,4,4,0,2025-03-15 06:01:41
Barrio Sur,Medicina General,Cerrada,2025-01-21 08:00:00,2025-01-21 10:00:00,6,6,4,0,2025-03-15 06:01:41
Crottogini,Trabajo Social,Cerrada,2025-01-21 08:00:00,2025-01-21 10:00:00,4,4,3,0,2025-03-15 06:01:41
Zully Sanchez,Medicina General,Cerrada,2025-01-21 08:00:00,2025-01-21 10:00:00,6,6,6,0,2025-03-15 06:01:41
Parque Bellan,Medicina Familiar,Cerrada,2025-01-21 08:00:00,2025-01-21 10:00:00,6,6,6,0,2025-03-15 06:01:41
Casavalle,Medicina Familiar,Cerrada,2025-01-21 08:00:00,2025-01-21 10:00:00,6,7,4,0,2025-03-15 06:01:41
Yucatan,Odontología,Cerrada,2025-01-21 08:00:00,2025-01-21 10:00:00,4,4,1,0,2025-03-15 06:01:41
Punta De Rieles,Psicología,Cerrada,2025-01-21 08:00:00,2025-01-21 11:00:00,3,3,2,0,2025-03-15 06:01:41
Casavalle,Medicina Familiar,Cerrada,2025-01-21 08:00:00,2025-01-21 11:30:00,10,15,14,0,2025-03-15 06:01:41
Paso De La Arena,Fonoaudiología,Cerrada,2025-01-21 08:00:00,2025-01-21 12:00:00,6,6,4,0,2025-03-15 06:01:41
Yucatan,Odontología,Cerrada,2025-01-21 08:00:00,2025-01-21 12:00:00,6,5,5,0,2025-03-15 06:01:41
Jose P. Varela,Odontología,Cerrada,2025-01-21 08:15:00,2025-01-21 08:45:00,2,2,2,0,2025-03-15 06:01:41
Crottogini,Medicina Familiar,Cerrada,2025-01-21 08:20:00,2025-01-21 08:50:00,1,1,0,0,2025-03-15 06:01:41
La Paloma,Medicina Familiar,Cerrada,2025-01-21 08:20:00,2025-01-21 12:20:00,12,13,5,0,2025-03-15 06:01:41
La Teja,Medicina Familiar,Cerrada,2025-01-21 08:30:00,2025-01-21 08:50:00,1,1,1,0,2025-03-15 06:01:41
La Paloma,Pediatría,Cerrada,2025-01-21 08:30:00,2025-01-21 09:00:00,1,1,0,0,2025-03-15 06:01:41
Los Angeles,Medicina Familiar,Cerrada,2025-01-21 08:30:00,2025-01-21 09:00:00,1,1,1,0,2025-03-15 06:01:41
Punta De Rieles,Pediatría,Cerrada,2025-01-21 08:30:00,2025-01-21 09:15:00,3,3,2,0,2025-03-15 06:01:41
La Teja,Odontología,Cerrada,2025-01-21 08:30:00,2025-01-21 09:30:00,4,4,2,0,2025-03-15 06:01:41
Aquiles Lanza,Medicina Familiar,Cerrada,2025-01-21 08:30:00,2025-01-21 09:50:00,4,8,8,0,2025-03-15 06:01:41
La Teja,Pediatría,Cerrada,2025-01-21 08:30:00,2025-01-21 10:30:00,6,6,2,0,2025-03-15 06:01:41
Colon,Medicina General,Cerrada,2025-01-21 08:30:00,2025-01-21 10:30:00,6,6,2,0,2025-03-15 06:01:41
La Paloma,Odontología,Cerrada,2025-01-21 08:30:00,2025-01-21 10:30:00,4,5,5,0,2025-03-15 06:01:41
Jose P. Varela,Odontología,Cerrada,2025-01-21 08:45:00,2025-01-21 09:45:00,4,4,3,0,2025-03-15 06:01:41
La Teja,Medicina Familiar,Cerrada,2025-01-21 08:50:00,2025-01-21 11:00:00,6,6,6,0,2025-03-15 06:01:41
Aquiles Lanza,Odontología,Cerrada,2025-01-21 09:00:00,2025-01-21 09:30:00,1,1,0,0,2025-03-15 06:01:41
Casabo,Nutrición,Cerrada,2025-01-21 09:00:00,2025-01-21 09:40:00,2,2,2,0,2025-03-15 06:01:41
Francisco Pucci,Medicina Familiar,Cerrada,2025-01-21 09:00:00,2025-01-21 10:00:00,3,4,4,0,2025-03-15 06:01:41
Giraldez,Medicina Familiar,Cerrada,2025-01-21 09:00:00,2025-01-21 10:00:00,3,3,3,0,2025-03-15 06:01:41
Lavalleja,Ginecoobstetricia,Cerrada,2025-01-21 09:00:00,2025-01-21 10:00:00,3,3,1,0,2025-03-15 06:01:41
Yucatan,Psicología,Cerrada,2025-01-21 09:00:00,2025-01-21 10:00:00,1,1,1,0,2025-03-15 06:01:41
Buceo,Medicina Familiar,Cerrada,2025-01-21 09:00:00,2025-01-21 10:00:00,3,4,3,0,2025-03-15 06:01:41
Casabo,Odontología,Cerrada,2025-01-21 09:00:00,2025-01-21 10:30:00,3,4,2,0,2025-03-15 06:01:41
Crottogini,Ginecoobstetricia,Cerrada,2025-01-21 09:00:00,2025-01-21 10:30:00,4,3,2,0,2025-03-15 06:01:41
Jose P. Varela,Odontología,Cerrada,2025-01-21 09:00:00,2025-01-21 10:30:00,2,2,2,0,2025-03-15 06:01:41
Los Angeles,Medicina Familiar,Cerrada,2025-01-21 09:00:00,2025-01-21 11:00:00,6,6,6,0,2025-03-15 06:01:41
Luisa Tirapare,Ginecoobstetricia,Cerrada,2025-01-21 09:00:00,2025-01-21 11:00:00,4,3,2,0,2025-03-15 06:01:41
Colon,Psicología,Cerrada,2025-01-21 09:00:00,2025-01-21 11:00:00,2,3,2,0,2025-03-15 06:01:41
Casavalle,Odontología,Cerrada,2025-01-21 09:00:00,2025-01-21 11:00:00,4,4,4,0,2025-03-15 06:01:41
La Paloma,Trabajo Social,Cerrada,2025-01-21 09:00:00,2025-01-21 11:00:00,4,5,2,0,2025-03-15 06:01:41
La Paloma,Pediatría,Cerrada,2025-01-21 09:00:00,2025-01-21 11:30:00,5,5,5,0,2025-03-15 06:01:41
Lavalleja,Psicología,Cerrada,2025-01-21 09:00:00,2025-01-21 12:00:00,4,4,3,0,2025-03-15 06:01:41
Yucatan,Nutrición,Cerrada,2025-01-21 09:00:00,2025-01-21 12:30:00,7,8,5,0,2025-03-15 06:01:41
Punta De Rieles,Pediatría,Cerrada,2025-01-21 09:15:00,2025-01-21 09:45:00,2,2,2,0,2025-03-15 06:01:41
Casabo,Medicina Familiar,Cerrada,2025-01-21 09:20:00,2025-01-21 10:00:00,2,2,2,0,2025-03-15 06:01:41
Crottogini,Medicina Familiar,Cerrada,2025-01-21 09:20:00,2025-01-21 11:00:00,5,5,3,0,2025-03-15 06:01:41
Los Angeles,Odontología,Cerrada,2025-01-21 09:30:00,2025-01-21 10:30:00,2,2,2,0,2025-03-15 06:01:41
Giraldez,Odontología,Cerrada,2025-01-21 09:30:00,2025-01-21 10:30:00,1,1,1,0,2025-03-15 06:01:41
Aquiles Lanza,Odontología,Cerrada,2025-01-21 09:30:00,2025-01-21 10:30:00,2,2,0,0,2025-03-15 06:01:41
La Teja,Odontología,Cerrada,2025-01-21 09:30:00,2025-01-21 11:30:00,4,4,2,0,2025-03-15 06:01:41
Yano Rodriguez,Odontología,Cerrada,2025-01-21 09:30:00,2025-01-21 12:00:00,5,5,4,0,2025-03-15 06:01:41
Casabo,Nutrición,Cerrada,2025-01-21 09:40:00,2025-01-21 10:20:00,2,2,1,0,2025-03-15 06:01:41
Francisco Pucci,Odontología,Cerrada,2025-01-21 09:40:00,2025-01-21 10:40:00,2,2,0,0,2025-03-15 06:01:41
Punta De Rieles,Pediatría,Cerrada,2025-01-21 09:45:00,2025-01-21 10:00:00,1,1,1,0,2025-03-15 06:01:41
Barrio Sur,Psicología,Cerrada,2025-01-21 09:46:00,2025-01-21 09:56:00,1,1,1,0,2025-03-15 06:01:41
Luisa Tirapare,Partera,Cerrada,2025-01-21 09:50:00,2025-01-21 13:00:00,9,10,7,0,2025-03-15 06:01:41
Casabo,Medicina Familiar,Cerrada,2025-01-21 10:00:00,2025-01-21 10:30:00,1,1,1,0,2025-03-15 06:01:41
Casavalle,Medicina Familiar,Cerrada,2025-01-21 10:00:00,2025-01-21 11:00:00,3,3,3,0,2025-03-15 06:01:41
La Teja,Medicina Familiar,Cerrada,2025-01-21 10:00:00,2025-01-21 11:00:00,3,3,3,0,2025-03-15 06:01:41
Buceo,Medicina Familiar,Cerrada,2025-01-21 10:00:00,2025-01-21 11:00:00,2,2,2,0,2025-03-15 06:01:41
Casabo,Psicología,Cerrada,2025-01-21 10:00:00,2025-01-21 11:00:00,1,1,1,0,2025-03-15 06:01:41
Parque Bellan,Odontología,Cerrada,2025-01-21 10:00:00,2025-01-21 11:45:00,7,6,5,0,2025-03-15 06:01:41
Parque Bellan,Medicina Familiar,Cerrada,2025-01-21 10:00:00,2025-01-21 12:00:00,6,6,5,0,2025-03-15 06:01:41
Yucatan,Odontología,Cerrada,2025-01-21 10:00:00,2025-01-21 12:00:00,4,4,1,0,2025-03-15 06:01:41
Lavalleja,Ginecoobstetricia,Cerrada,2025-01-21 10:00:00,2025-01-21 12:00:00,6,1,1,0,2025-03-15 06:01:41
La Teja,Psicología,Cerrada,2025-01-21 10:00:00,2025-01-21 12:00:00,2,1,1,0,2025-03-15 06:01:41
Barrio Sur,Medicina General,Cerrada,2025-01-21 10:00:00,2025-01-21 12:00:00,6,6,6,0,2025-03-15 06:01:41
Casabo,Partera,Cerrada,2025-01-21 10:00:00,2025-01-21 12:00:00,6,6,6,0,2025-03-15 06:01:41
Giraldez,Enfermería,Cerrada,2025-01-21 10:00:00,2025-01-21 12:00:00,6,5,2,0,2025-03-15 06:01:41
Giraldez,Medicina Familiar,Cerrada,2025-01-21 10:00:00,2025-01-21 12:30:00,7,8,6,0,2025-03-15 06:01:41
Jose P. Varela,Odontología,Cerrada,2025-01-21 10:15:00,2025-01-21 10:30:00,1,1,1,0,2025-03-15 06:01:41
Jose P. Varela,Odontología,Cerrada,2025-01-21 10:30:00,2025-01-21 10:45:00,1,1,1,0,2025-03-15 06:01:41
Giraldez,Odontología,Cerrada,2025-01-21 10:30:00,2025-01-21 10:45:00,1,1,1,0,2025-03-15 06:01:41
Aquiles Lanza,Odontología,Cerrada,2025-01-21 10:30:00,2025-01-21 11:00:00,2,2,1,0,2025-03-15 06:01:41
Colon,Medicina General,Cerrada,2025-01-21 10:30:00,2025-01-21 11:10:00,2,2,2,0,2025-03-15 06:01:41
Los Angeles,Odontología,Cerrada,2025-01-21 10:30:00,2025-01-21 11:30:00,2,2,1,0,2025-03-15 06:01:41
Casabo,Medicina Familiar,Cerrada,2025-01-21 10:30:00,2025-01-21 11:30:00,3,3,2,0,2025-03-15 06:01:41
La Teja,Pediatría,Cerrada,2025-01-21 10:30:00,2025-01-21 11:30:00,3,4,4,0,2025-03-15 06:01:41
Casabo,Odontología,Cerrada,2025-01-21 10:30:00,2025-01-21 11:30:00,4,4,3,0,2025-03-15 06:01:41
La Paloma,Pediatría,Cerrada,2025-01-21 10:30:00,2025-01-21 11:30:00,3,3,1,0,2025-03-15 06:01:41
Zully Sanchez,Medicina General,Cerrada,2025-01-21 10:30:00,2025-01-21 13:30:00,9,9,8,0,2025-03-15 06:01:41
Casavalle,Ginecoobstetricia,Cerrada,2025-01-21 10:30:00,2025-01-21 14:00:00,10,12,4,0,2025-03-15 06:01:41
Casavalle,Odontología,Cerrada,2025-01-21 10:30:00,2025-01-21 14:00:00,5,7,5,0,2025-03-15 06:01:41
La Paloma,Odontología,Cerrada,2025-01-21 10:30:00,2025-01-21 14:15:00,11,11,10,0,2025-03-15 06:01:41
Francisco Pucci,Odontología,Cerrada,2025-01-21 10:40:00,2025-01-21 13:20:00,5,5,4,0,2025-03-15 06:01:41
Jose P. Varela,Odontología,Cerrada,2025-01-21 10:45:00,2025-01-21 11:00:00,1,1,1,0,2025-03-15 06:01:41
Giraldez,Odontología,Cerrada,2025-01-21 10:45:00,2025-01-21 11:30:00,3,3,2,0,2025-03-15 06:01:41
Aquiles Lanza,Medicina Familiar,Cerrada,2025-01-21 11:00:00,2025-01-21 11:30:00,1,3,2,0,2025-03-15 06:01:41
Inve 16,Medicina Familiar,Cerrada,2025-01-21 11:00:00,2025-01-21 12:00:00,2,2,1,0,2025-03-15 06:01:41
Jose P. Varela,Odontología,Cerrada,2025-01-21 11:00:00,2025-01-21 12:00:00,2,2,2,0,2025-03-15 06:01:41
La Teja,Medicina Familiar,Cerrada,2025-01-21 11:00:00,2025-01-21 12:00:00,2,2,2,0,2025-03-15 06:01:41
Barrio Sur,Enfermería,Cerrada,2025-01-21 11:00:00,2025-01-21 12:00:00,3,1,1,0,2025-03-15 06:01:41
La Teja,Medicina Familiar,Cerrada,2025-01-21 11:00:00,2025-01-21 12:00:00,3,3,3,0,2025-03-15 06:01:41
Casabo,Psicología,Cerrada,2025-01-21 11:00:00,2025-01-21 12:00:00,1,2,2,0,2025-03-15 06:01:41
Los Angeles,Medicina Familiar,Cerrada,2025-01-21 11:00:00,2025-01-21 12:00:00,2,3,3,0,2025-03-15 06:01:41
Punta De Rieles,Medicina Familiar,Cerrada,2025-01-21 11:00:00,2025-01-21 12:20:00,4,8,8,0,2025-03-15 06:01:41
Colon,Partera,Cerrada,2025-01-21 11:00:00,2025-01-21 12:40:00,5,3,3,0,2025-03-15 06:01:41
Luisa Tirapare,Psicología,Cerrada,2025-01-21 11:00:00,2025-01-21 13:00:00,2,2,2,0,2025-03-15 06:01:41
Punta De Rieles,Psicología,Cerrada,2025-01-21 11:00:00,2025-01-21 13:00:00,2,1,0,0,2025-03-15 06:01:41
Luisa Tirapare,Trabajo Social,Cerrada,2025-01-21 11:00:00,2025-01-21 14:30:00,7,2,2,0,2025-03-15 06:01:41
Francisco Pucci,Trabajo Social,Cerrada,2025-01-21 11:00:00,2025-01-21 15:00:00,8,6,1,0,2025-03-15 06:01:41
Yucatan,Psicología,Cerrada,2025-01-21 11:00:00,2025-01-21 15:00:00,4,3,3,0,2025-03-15 06:01:41
Casavalle,Odontología,Cerrada,2025-01-21 11:00:00,2025-01-21 16:00:00,7,7,3,0,2025-03-15 06:01:41
Aquiles Lanza,Trabajo Social,Cerrada,2025-01-21 11:10:00,2025-01-21 11:40:00,1,1,1,0,2025-03-15 06:01:41
Colon,Medicina General,Cerrada,2025-01-21 11:10:00,2025-01-21 11:55:00,3,3,3,0,2025-03-15 06:01:41
Casabo,Medicina Familiar,Cerrada,2025-01-21 11:30:00,2025-01-21 11:50:00,1,1,1,0,2025-03-15 06:01:41
Punta De Rieles,Ginecoobstetricia,Cerrada,2025-01-21 11:30:00,2025-01-21 12:00:00,2,2,2,0,2025-03-15 06:01:41
La Paloma,Pediatría,Cerrada,2025-01-21 11:30:00,2025-01-21 12:10:00,2,2,2,0,2025-03-15 06:01:41
Casabo,Odontología,Cerrada,2025-01-21 11:30:00,2025-01-21 12:30:00,2,2,2,0,2025-03-15 06:01:41
Casavalle,Medicina Familiar,Cerrada,2025-01-21 11:30:00,2025-01-21 12:30:00,2,3,3,0,2025-03-15 06:01:41
Giraldez,Odontología,Cerrada,2025-01-21 11:30:00,2025-01-21 12:30:00,2,2,2,0,2025-03-15 06:01:41
Paso De La Arena,Ginecoobstetricia,Cerrada,2025-01-21 11:30:00,2025-01-21 12:30:00,6,7,5,0,2025-03-15 06:01:41
Parque Bellan,Medicina Familiar,Cerrada,2025-01-21 11:30:00,2025-01-21 14:30:00,9,10,8,0,2025-03-15 06:01:41
Casabo,Medicina Familiar,Cerrada,2025-01-21 11:50:00,2025-01-21 12:10:00,1,1,1,0,2025-03-15 06:01:41
Parque Bellan,Medicina General,Cerrada,2025-01-21 12:00:00,2025-01-21 12:20:00,1,1,1,0,2025-03-15 06:01:41
Parque Bellan,Medicina Familiar,Cerrada,2025-01-21 12:00:00,2025-01-21 12:20:00,1,1,1,0,2025-03-15 06:01:41
La Teja,Odontología,Cerrada,2025-01-21 12:00:00,2025-01-21 12:30:00,2,2,0,0,2025-03-15 06:01:41
La Teja,Medicina Familiar,Cerrada,2025-01-21 12:00:00,2025-01-21 12:40:00,2,2,1,0,2025-03-15 06:01:41
Luisa Tirapare,Medicina General,Cerrada,2025-01-21 12:00:00,2025-01-21 12:40:00,2,3,3,0,2025-03-15 06:01:41
Jose P. Varela,Odontología,Cerrada,2025-01-21 12:00:00,2025-01-21 13:00:00,2,2,2,0,2025-03-15 06:01:41
Casavalle,Pediatría,Cerrada,2025-01-21 12:00:00,2025-01-21 13:00:00,3,4,2,0,2025-03-15 06:01:41
Paso De La Arena,Enfermería,Cerrada,2025-01-21 12:00:00,2025-01-21 13:00:00,3,1,1,0,2025-03-15 06:01:41
La Teja,Medicina Familiar,Cerrada,2025-01-21 12:00:00,2025-01-21 13:00:00,3,3,3,0,2025-03-15 06:01:41
Jose P. Varela,Odontología,Cerrada,2025-01-21 12:00:00,2025-01-21 13:00:00,2,1,1,0,2025-03-15 06:01:41
Punta De Rieles,Ginecoobstetricia,Cerrada,2025-01-21 12:00:00,2025-01-21 13:20:00,4,3,1,0,2025-03-15 06:01:41
La Teja,Pediatría,Cerrada,2025-01-21 12:00:00,2025-01-21 13:30:00,3,1,1,0,2025-03-15 06:01:41
Yucatan,Medicina Familiar,Cerrada,2025-01-21 12:00:00,2025-01-21 13:30:00,3,5,4,0,2025-03-15 06:01:41
Casabo,Psicología,Cerrada,2025-01-21 12:00:00,2025-01-21 14:00:00,2,2,0,0,2025-03-15 06:01:41
Casabo,Partera,Cerrada,2025-01-21 12:00:00,2025-01-21 14:20:00,7,11,8,0,2025-03-15 06:01:41
Yano Rodriguez,Odontología,Cerrada,2025-01-21 12:00:00,2025-01-21 15:00:00,6,6,6,0,2025-03-15 06:01:41
Yucatan,Trabajo Social,Cerrada,2025-01-21 12:00:00,2025-01-21 17:00:00,15,5,4,0,2025-03-15 06:01:41
Punta De Rieles,Medicina Familiar,Cerrada,2025-01-21 12:20:00,2025-01-21 13:00:00,2,2,2,0,2025-03-15 06:01:41
Parque Bellan,Medicina Familiar,Cerrada,2025-01-21 12:20:00,2025-01-21 13:50:00,4,4,3,0,2025-03-15 06:01:41
Los Angeles,Medicina Familiar,Cerrada,2025-01-21 12:30:00,2025-01-21 13:00:00,1,2,2,0,2025-03-15 06:01:41
Yano Rodriguez,Odontología,Cerrada,2025-01-21 12:30:00,2025-01-21 13:00:00,1,1,1,0,2025-03-15 06:01:41
La Teja,Odontología,Cerrada,2025-01-21 12:30:00,2025-01-21 13:30:00,2,2,2,0,2025-03-15 06:01:41
Parque Bellan,Odontología,Cerrada,2025-01-21 12:30:00,2025-01-21 13:30:00,4,4,4,0,2025-03-15 06:01:41
Paso De La Arena,Ginecoobstetricia,Cerrada,2025-01-21 12:30:00,2025-01-21 13:30:00,6,5,3,0,2025-03-15 06:01:41
Barrio Sur,Enfermería,Cerrada,2025-01-21 12:30:00,2025-01-21 16:00:00,10,4,3,0,2025-03-15 06:01:41
La Paloma,Pediatría,Cerrada,2025-01-21 12:40:00,2025-01-21 13:40:00,2,2,1,0,2025-03-15 06:01:41
Yucatan,Odontología,Cerrada,2025-01-21 12:40:00,2025-01-21 14:00:00,2,2,1,0,2025-03-15 06:01:41
Lavalleja,Medicina Familiar,Cerrada,2025-01-21 13:00:00,2025-01-21 13:20:00,1,1,1,0,2025-03-15 06:01:41
Buceo,Odontología,Cerrada,2025-01-21 13:00:00,2025-01-21 13:30:00,1,1,1,0,2025-03-15 06:01:41
Los Angeles,Partera,Cerrada,2025-01-21 13:00:00,2025-01-21 14:00:00,2,3,2,0,2025-03-15 06:01:41
Los Angeles,Ginecoobstetricia,Cerrada,2025-01-21 13:00:00,2025-01-21 14:00:00,2,2,2,0,2025-03-15 06:01:41
Jose P. Varela,Odontología,Cerrada,2025-01-21 13:00:00,2025-01-21 14:00:00,1,1,1,0,2025-03-15 06:01:41
Punta De Rieles,Psicología,Cerrada,2025-01-21 13:00:00,2025-01-21 14:00:00,1,1,1,0,2025-03-15 06:01:41
Jose P. Varela,Odontología,Cerrada,2025-01-21 13:00:00,2025-01-21 14:00:00,4,3,3,0,2025-03-15 06:01:41
Jose P. Varela,Odontología,Cerrada,2025-01-21 13:00:00,2025-01-21 14:00:00,2,2,2,0,2025-03-15 06:01:41
Giraldez,Medicina Familiar,Cerrada,2025-01-21 13:00:00,2025-01-21 14:00:00,3,3,3,0,2025-03-15 06:01:41
Inve 16,Medicina Familiar,Cerrada,2025-01-21 13:00:00,2025-01-21 14:00:00,3,3,2,0,2025-03-15 06:01:41
Luisa Tirapare,Psicología,Cerrada,2025-01-21 13:00:00,2025-01-21 14:00:00,1,1,1,0,2025-03-15 06:01:41
Yano Rodriguez,Odontología,Cerrada,2025-01-21 13:00:00,2025-01-21 14:00:00,2,2,2,0,2025-03-15 06:01:41
Luisa Tirapare,Partera,Cerrada,2025-01-21 13:00:00,2025-01-21 14:50:00,5,5,4,0,2025-03-15 06:01:41
